,PropertyName,ShortDesc,StationMiles,Description,AddedOrReduced,Agent,ContactNumber,PropertyValue
5,"Park Avenue, Farnborough Park, Kent",5 bedroom detached house for sale,2.54 miles from station,"Positioned on Farnborough Parks premier Road, in this sought after Gated Private Estate, we are pleased to offer Hazelwood, an 8000 sq ft. rebuilt property that sits on an acre plot with large frontage and south aspect gardens to rear. The property was designed to reflect its original ...",Added on 05/03/2020,"Added on 05/03/2020 by Alan de Maid, Locksbottom",01689 499706,"£4,350,000"
6,Wilderness Road BR7,6 bedroom detached house for sale,2.29 miles from station,"VIRTUAL VIEWING AVAILABLE. Situated in Wilderness Road, Chesham House sits on one of the largest plots measuring 0.75 of an acre with exceptional views over Chislehurst Golf Course and boasts nearly 7,000 sq ft of internal living space. Energy Efficiency Rating D.",Added on 08/07/2020,"Added on 08/07/2020 by Unique, Langford Russell Chislehurst",020 8012 5184,"£4,250,000"
7,"Manor Way, Beckenham, BR3",5 bedroom detached house for sale,1.75 miles from station,Winkworth are delighted to offer to the market this magnificent Detached Property offering both security and tranquillity situated in an outstanding location. Offering exceptional appeal to both international buyers and those looking for the flexibility of the perfect work/life balance.,Added on 15/09/2020,"Added on 15/09/2020 by Winkworth, Beckenham",020 8012 3581,POA
8,"Chislehurst Road, Bromley",7 bedroom detached house for sale,1.23 miles from station,"Built in 2009, this superb 7 bedroom detached house measures over 9300 sq ft and is located behind gates on a large secluded plot which includes a lower ground leisure complex.",Added on 29/01/2020,"Added on 29/01/2020 by Kinleigh Folkard & Hayward - Sales, Chislehurst",020 8012 2744,POA
9,Woodlands Road Bickley BR1,7 bedroom detached house for sale,1.32 miles from station,"Located within the ever popular private Bickley Park Estate is this exceptional seven double bedroom, detached family home. Set behind electric gates, this impressive dwelling boasts over 7,100 sq ft of well designed living space. Energy Efficiency Rating C.",Added on 18/11/2020,"Added on 18/11/2020 by Unique, Langford Russell Chislehurst",020 8012 5184,"£3,750,000"
10,"Ninhams Wood, Keston Park, Kent",6 bedroom detached house for sale,2.92 miles from station,"Positioned on the most secluded road in Keston Park a private gated estate between Bromley and Sevenoaks we are excited to present Aces a six bedroom house offering 8000ft of living space, maintained to the same level of quality as when it was first built. Built in 2015, Aces is a u...",Added on 13/07/2020,"Added on 13/07/2020 by Alan de Maid, Locksbottom",01689 499706,"£3,650,000"
11,"Shirley Hills Road, Shirley, Croydon, CR0",5 bedroom house for sale,3.91 miles from station,"Set in landscaped woodland and gardens this stunning home offers a private gated driveway leading up to double garage, a separate pool complex, gym, cinema and stunning interior finish throughout.",Added on 22/09/2020,"Added on 22/09/2020 by Foxtons, Croydon",020 3858 3363,"£3,500,000"
12,"Boundary Way, Addington, Nr Croydon, CR0",6 bedroom detached house for sale,3.41 miles from station,"At just over 7008 sq ft (651 sq m), this superb Garde II listed house from the 17th century with later additions, has all the contemporary and modern touches creating the perfect blend for today’s family living.",Added on 02/11/2020,"Added on 02/11/2020 by Sotheby's International Realty , Cobham",01932 485110,"£3,500,000"
13,"Nash Lane, Keston, BR2",7 bedroom detached house for sale,3.04 miles from station,"Understood to be two amalgamated C16th cottages, this farm style house enjoys a beautiful rural location only 12 miles from central London yet has approximately 7.5 acres of land with stabling.",Added on 08/04/2020,"Added on 08/04/2020 by Sotheby's International Realty , Cobham",01932 485110,"£3,300,000"
14,"Sydenham Hill, Sydenham, SE26",6 bedroom detached house for sale,4.36 miles from station,Detached family home | Six bedrooms | 21 ft. reception | 34 ft. dining room | 31 ft. kitchen | Two family bathrooms | Three en suite bathrooms | 129 ft. garden | Garage | Carriage drive | Over 4900 sq. ft |,Added on 25/10/2019,"Added on 25/10/2019 by Winkworth, Forest Hill & New Cross",020 8012 3574,"£3,000,000"
15,Stables Lodge Beltwood Park Residences London SE26 6TH,4 bedroom detached house for sale,4.48 miles from station,"Contemporary detached house, currently under construction, and arranged over three floors but with the benefit of a lift to all floors.",Added on 21/07/2020,"Added on 21/07/2020 by Harvey & Wheeler, Dulwich & Herne Hill",020 8012 6432,"£2,750,000"
16,"Woodlands Road, Bromley",5 bedroom detached house for sale,1.41 miles from station,"Extremely rare opportunity to purchase this magnificent five/six bedroom detached family home, located on arguably one of Bickley's finest private roads, having been designed and built by the renowned local developer of the time Fredrick Love. The property is being offered to the mark...",Added on 13/08/2020,"Added on 13/08/2020 by Alan de Maid, Chislehurst",020 8012 1731,"£2,625,000"
17,"Denbridge Road, Bickley",6 bedroom detached house for sale,1.57 miles from station,Charles Quennell was known for designining some of the finest examples of Arts & Crafts detached homes in the local area and this particular house was his own home built around 1904/5. The owners have updated the house during their 27 year tenure to create a wonderful home that balances the b...,Added on 01/10/2020,"Added on 01/10/2020 by jdm, Chislehurst",020 8012 2398,"£2,600,000"
18,"The Beeches, Dome Hill Park, Sydenham, SE26",6 bedroom detached house for sale,4.43 miles from station,"**CHAIN FREE** Located on one of Sydenham's most prestige, PRIVATE ROADS is this substantial, six bedroom, detached family home with the bonus of offering a DETACHED GARAGE. Presented to a GOOD STANDARD THROUGHOUT this family home represents a SCANDANAVIAN FEEL and is best suited to a family.",Added on 10/07/2020,"Added on 10/07/2020 by CKB Estate Agents, Sydenham",020 8012 0209,"£2,500,000"
19,"Marmora Road, East Dulwich London SE22",6 bedroom detached house for sale,4.80 miles from station,"An exquisite six bedroom double fronted detached family home that oozes elegance, style and period charm throughout. A beautiful tiled pathway, pretty red rose bushes and enchanting climbing wisteria leading to the grand entrance hall really sets the scene for this regal double fronted Victorian...",Added on 30/10/2020,"Added on 30/10/2020 by Knight Frank, Dulwich Village",020 3858 3421,"£2,500,000"
20,"Whitecroft Way, Park Langley, Beckenham",7 bedroom detached house for sale,1.18 miles from station,"Wonderfully impressive detached property on magnificent plot (60m x 30m/200ft x 100ft) giving a wide frontage and very large garden. The house is beautifully extended to provide extremely spacious accommodation with scope for annexe, if required. The attrac...",Added on 06/11/2020,"Added on 06/11/2020 by Proctors, Park Langley",020 8012 2468,"£2,495,000"
21,"Alleyn Park, West Dulwich London SE21",5 bedroom detached house for sale,4.95 miles from station,"Substantial West Dulwich detached home with an enchanting West facing garden. A rare opportunity to create your forever home on a sizeable West facing plot with ample off-street parking, a double garage and the most enchanting of gardens, set on a highly sought after tree-lined residential road ...",Reduced on 11/09/2020,"Reduced on 11/09/2020 by Knight Frank, Dulwich Village",020 3858 3421,"£2,400,000"
22,Alleyn Park West Dulwich SE21 8AU,5 bedroom detached house for sale,4.95 miles from station,"A detached family house of comparatively modern construction (c1979), thoughtfully extended by the owners to provide a gross internal area of 3,292 sq ft (306 meters).",Reduced on 11/09/2020,"Reduced on 11/09/2020 by Harvey & Wheeler, Dulwich & Herne Hill",020 8012 6432,"£2,400,000"
23,"Belvedere Road, London, SE19",6 bedroom detached house for sale,4.16 miles from station,Double fronted Detached 6 Double Bedrooms 3 Receptions Double Aspect bi-fold doors Original features kept Ensuite bathrooms Horse Shoe drive,Reduced on 03/06/2020,"Reduced on 03/06/2020 by We Can Properties , London",020 3858 2872,"£2,300,000"
24,"Kemnal Road, Chislehurst, Kent, BR7",4 bedroom detached house for sale,2.93 miles from station,"If you are looking for a one off property with genuine WOW factor, then this charming home needs to be seen in the flesh. Located on a private road with a gated entrance and steeped in history, the original building was a standard Victorian property built in 1874. However, the current owners have...",Reduced on 01/08/2019,"Reduced on 01/08/2019 by Your Move , Eltham",020 8012 3702,"£2,250,000"
0,"Leas Green, Chislehurst",6 bedroom detached house for sale,3.58 miles from station,A spacious 6 bedroom detached house built in 1934 with a 1 bedroom annex making ideal accommodation for an elderly relative or teenager. Modern fitted kitchen and bathrooms. Large plot with beautiful gardens. Close proximity to Royal Parade and transport links.,Added on 03/12/2020,"Added on 03/12/2020 by jdm, Chislehurst",020 8012 2398,"£1,695,000"
1,"Queen Anne's Gate, London, SW1H",6 bedroom town house for sale,9.53 miles from station,"An exceptionally elegant, recently restored Freehold house with views of St James's Park . The property benefits from lateral space due to the four windows width and has fantastic views over Birdcage Walk and St James's Park.
The original grand staircase sweeps up from the entrance hall to the g...",Added on 08/09/2020,"Added on 08/09/2020 by Knight Frank, Belgravia, covering Westminster",020 8012 4123,"£17,950,000"
2,"Surrey Lane, Battersea, London SW11",6 bedroom detached house for sale,9.52 miles from station,"One of London’s hidden gems, an extraordinarily quiet and low built house, ‘secretly’ positioned behind electrically controlled gates and set within a spectacular walled garden, providing the ambience and character of a country house whilst set within central London just minutes...",Added on 10/11/2017,"Added on 10/11/2017 by Aylesford International, Chelsea",020 8012 4022,"£10,500,000"
3,"Spencer Park, London, SW18",9 bedroom detached house for sale,9.23 miles from station,A rare opportunity to acquire a substantial detached family house on Wandsworth's premiere road with views over the Common to the front and access to a private 4/5 acre private park to the rear. The property and those surrounding it were created by the then Earl Spencer in the 1880s. Situated in...,Added on 19/08/2020,"Added on 19/08/2020 by Knight Frank, Wandsworth",020 8012 3482,"£9,000,000"
4,"Parkside, Wimbledon Village, SW19",8 bedroom detached house for sale,9.90 miles from station,"Situated in an enviable position on Parkside on the edge of Wimbledon Village and directly overlooking the Common, this dignified Edwardian family house offers bright, spacious and versatile accommodation less than 500 metres from the bustling High Street",Reduced on 09/11/2020,"Reduced on 09/11/2020 by Robert Holmes & Co, Wimbledon - Sales",020 8012 1881,"£7,350,000"
5,"Leo Yard, London, EC1V",5 bedroom detached house for sale,9.94 miles from station,"The Cooperage is a masterpiece of design mixing old and new within a former industrial freehold including five bedrooms over five levels spanning over 4,000 sq ft (approx) with two roof terraces. Dating back to the early 1900s this gem of a warehouse conversion was originally used as a brewery...",Added on 14/08/2020,"Added on 14/08/2020 by TBA Property, London",020 8012 5455,POA
